player,season,award,first_place_votes,award_pts_won,award_pts_max
Purvis Short,1985,mvp,0.0,2.0,780
Clyde Drexler,1985,mvp,0.0,1.0,780
Julius Erving,1985,mvp,0.0,1.0,780
Michael Jordan,1985,roy,57.5,57.5,78
Hakeem Olajuwon,1985,roy,20.5,20.5,78
Mark Eaton,1985,dpoy,32.0,32.0,78
Sidney Moncrief,1985,dpoy,13.0,13.0,78
Paul Pressey,1985,dpoy,10.0,10.0,78
Michael Cooper,1985,dpoy,9.0,9.0,78
Maurice Cheeks,1985,dpoy,5.0,5.0,78
Dennis Johnson,1985,dpoy,3.0,3.0,78
T.R. Dunn,1985,dpoy,2.0,2.0,78
Micheal Ray Richardson,1985,dpoy,2.0,2.0,78
Danny Vranes,1985,dpoy,2.0,2.0,78
Kevin McHale,1985,smoy,57.0,57.0,78
Clyde Drexler,1985,smoy,5.0,5.0,78
Dan Issel,1985,smoy,5.0,5.0,78
Michael Cooper,1985,smoy,4.0,4.0,78
Jay Vincent,1985,smoy,2.0,2.0,78
Quintin Dailey,1985,smoy,1.0,1.0,78
Bobby Jones,1985,smoy,1.0,1.0,78
Bob McAdoo,1985,smoy,1.0,1.0,78
Terry Tyler,1985,smoy,1.0,1.0,78
Mike Woodson,1985,smoy,1.0,1.0,78
Larry Bird,1986,mvp,73.0,765.0,780
Dominique Wilkins,1986,mvp,5.0,407.0,780
Magic Johnson,1986,mvp,0.0,205.0,780
Hakeem Olajuwon,1986,mvp,0.0,193.0,780
Kareem Abdul-Jabbar,1986,mvp,0.0,135.0,780
Charles Barkley,1986,mvp,0.0,133.0,780
Sidney Moncrief,1986,mvp,0.0,56.0,780
Alex English,1986,mvp,0.0,55.0,780
Isiah Thomas,1986,mvp,0.0,28.0,780
Moses Malone,1986,mvp,0.0,21.0,780
Terry Cummings,1986,mvp,0.0,9.0,780
James Worthy,1986,mvp,0.0,7.0,780
Kevin McHale,1986,mvp,0.0,3.0,780
Paul Pressey,1986,mvp,0.0,3.0,780
Alvin Robertson,1986,mvp,0.0,3.0,780
Adrian Dantley,1986,mvp,0.0,2.0,780
Buck Williams,1986,mvp,0.0,2.0,780
Dennis Johnson,1986,mvp,0.0,1.0,780
Patrick Ewing,1986,roy,36.0,36.0,78
Xavier McDaniel,1986,roy,16.5,16.5,78
Karl Malone,1986,roy,14.5,14.5,78
Spud Webb,1986,roy,4.0,4.0,78
Manute Bol,1986,roy,3.0,3.0,78
Charles Oakley,1986,roy,3.0,3.0,78
Benoit Benjamin,1986,roy,1.0,1.0,78
Alvin Robertson,1986,dpoy,27.0,27.0,78
Manute Bol,1986,dpoy,22.0,22.0,78
Sidney Moncrief,1986,dpoy,8.0,8.0,78
Bill Walton,1986,smoy,32.0,32.0,78
Ricky Pierce,1986,smoy,11.0,11.0,78
Eddie Johnson,1986,smoy,10.0,10.0,78
Michael Cooper,1986,smoy,9.0,9.0,78
Thurl Bailey,1986,smoy,5.0,5.0,78
Alvin Robertson,1986,mip,30.0,30.0,78
Charles Barkley,1986,mip,18.5,18.5,78
Kevin Willis,1986,mip,8.0,8.0,78
Dominique Wilkins,1986,mip,6.5,6.5,78
Magic Johnson,1987,mvp,65.0,733.0,780
Michael Jordan,1987,mvp,10.0,449.0,780
Larry Bird,1987,mvp,1.0,271.0,780
Kevin McHale,1987,mvp,0.0,254.0,780
Dominique Wilkins,1987,mvp,0.0,128.0,780
Charles Barkley,1987,mvp,1.0,113.0,780
Hakeem Olajuwon,1987,mvp,1.0,28.0,780
Isiah Thomas,1987,mvp,0.0,17.0,780
Fat Lever,1987,mvp,0.0,11.0,780
Moses Malone,1987,mvp,0.0,9.0,780
Steve Johnson,1987,mvp,0.0,4.0,780
Karl Malone,1987,mvp,0.0,3.0,780
Robert Parish,1987,mvp,0.0,3.0,780
Alex English,1987,mvp,0.0,2.0,780
Mark Aguirre,1987,mvp,0.0,1.0,780
Rolando Blackman,1987,mvp,0.0,1.0,780
Joe Barry Carroll,1987,mvp,0.0,1.0,780
Chuck Person,1987,roy,68.0,68.0,78
Ron Harper,1987,roy,10.0,10.0,78
Michael Cooper,1987,dpoy,25.0,25.0,78
Alvin Robertson,1987,dpoy,16.0,16.0,78
Mark Eaton,1987,dpoy,10.0,10.0,78
Manute Bol,1987,dpoy,8.0,8.0,78
Kevin McHale,1987,dpoy,5.0,5.0,78
Maurice Cheeks,1987,dpoy,4.0,4.0,78
Dennis Johnson,1987,dpoy,3.0,3.0,78
T.R. Dunn,1987,dpoy,1.0,1.0,78
Bill Hanzlik,1987,dpoy,1.0,1.0,78
Derek Harper,1987,dpoy,1.0,1.0,78
Michael Jordan,1987,dpoy,1.0,1.0,78
Fat Lever,1987,dpoy,1.0,1.0,78
Paul Pressey,1987,dpoy,1.0,1.0,78
Doc Rivers,1987,dpoy,1.0,1.0,78
Ricky Pierce,1987,smoy,41.0,41.0,78
Vinnie Johnson,1987,smoy,19.0,19.0,78
Michael Cooper,1987,smoy,7.0,7.0,78
Michael Jordan,1988,mvp,47.0,665.0,800
Larry Bird,1988,mvp,16.0,527.0,800
Magic Johnson,1988,mvp,16.0,508.0,800
Charles Barkley,1988,mvp,1.0,109.0,800
Clyde Drexler,1988,mvp,0.0,86.0,800
Dominique Wilkins,1988,mvp,0.0,55.0,800
Hakeem Olajuwon,1988,mvp,0.0,40.0,800
Karl Malone,1988,mvp,0.0,36.0,800
Fat Lever,1988,mvp,0.0,26.0,800
John Stockton,1988,mvp,0.0,15.0,800
Alex English,1988,mvp,0.0,4.0,800
Isiah Thomas,1988,mvp,0.0,3.0,800
Mark Jackson,1988,mvp,0.0,2.0,800
Michael Adams,1988,mvp,0.0,1.0,800
Mark Aguirre,1988,mvp,0.0,1.0,800
Adrian Dantley,1988,mvp,0.0,1.0,800
Buck Williams,1988,mvp,0.0,1.0,800
Mark Jackson,1988,roy,77.0,77.0,80
Greg Anderson,1988,roy,1.0,1.0,80
Winston Garland,1988,roy,1.0,1.0,80
Kenny Smith,1988,roy,1.0,1.0,80
Michael Jordan,1988,dpoy,37.0,37.0,80
Mark Eaton,1988,dpoy,9.0,9.0,80
Hakeem Olajuwon,1988,dpoy,7.0,7.0,80
Alvin Robertson,1988,dpoy,6.0,6.0,80
Michael Cooper,1988,dpoy,4.0,4.0,80
Patrick Ewing,1988,dpoy,4.0,4.0,80
Fat Lever,1988,dpoy,4.0,4.0,80
Manute Bol,1988,dpoy,1.0,1.0,80
Maurice Cheeks,1988,dpoy,1.0,1.0,80
Clyde Drexler,1988,dpoy,1.0,1.0,80
Bob Hansen,1988,dpoy,1.0,1.0,80
Nate McMillan,1988,dpoy,1.0,1.0,80
Sam Perkins,1988,dpoy,1.0,1.0,80
Paul Pressey,1988,dpoy,1.0,1.0,80
Dennis Rodman,1988,dpoy,1.0,1.0,80
John Stockton,1988,dpoy,1.0,1.0,80
Roy Tarpley,1988,smoy,67.0,67.0,80
Thurl Bailey,1988,smoy,13.0,13.0,80
Kevin Duckworth,1988,mip,33.0,33.0,80
John Stockton,1988,mip,15.0,15.0,80
Mark Price,1988,mip,11.0,11.0,80
Michael Adams,1988,mip,7.0,7.0,80
Jerome Kersey,1988,mip,5.0,5.0,80
Randy Breuer,1988,mip,3.0,3.0,80
Frank Brickowski,1988,mip,3.0,3.0,80
John Battle,1988,mip,1.0,1.0,80
Byron Scott,1988,mip,1.0,1.0,80
Roy Tarpley,1988,mip,1.0,1.0,80
Magic Johnson,1989,mvp,42.5,664.5,850
Michael Jordan,1989,mvp,27.5,598.8,850
Karl Malone,1989,mvp,5.0,362.0,850
Patrick Ewing,1989,mvp,8.0,200.0,850
Hakeem Olajuwon,1989,mvp,2.0,179.3,850
Charles Barkley,1989,mvp,0.0,94.3,850
John Stockton,1989,mvp,0.0,28.0,850
Kevin Johnson,1989,mvp,0.0,22.0,850
Tom Chambers,1989,mvp,0.0,20.0,850
Mark Price,1989,mvp,0.0,18.0,850
Brad Daugherty,1989,mvp,0.0,4.0,850
Robert Parish,1989,mvp,0.0,4.0,850
Mark Eaton,1989,mvp,0.0,3.0,850
Moses Malone,1989,mvp,0.0,3.0,850
Chris Mullin,1989,mvp,0.0,3.0,850
Larry Nance,1989,mvp,0.0,3.0,850
Terry Cummings,1989,mvp,0.0,1.0,850
Joe Dumars,1989,mvp,0.0,1.0,850
Isiah Thomas,1989,mvp,0.0,1.0,850
Mitch Richmond,1989,roy,80.0,80.0,85
Willie Anderson,1989,roy,4.0,4.0,85
Chris Morris,1989,roy,1.0,1.0,85
Mark Eaton,1989,dpoy,26.0,26.0,85
Hakeem Olajuwon,1989,dpoy,25.0,25.0,85
Dennis Rodman,1989,dpoy,23.0,23.0,85
Manute Bol,1989,dpoy,4.0,4.0,85
Michael Jordan,1989,dpoy,3.0,3.0,85
Patrick Ewing,1989,dpoy,2.0,2.0,85
Fat Lever,1989,dpoy,1.0,1.0,85
Buck Williams,1989,dpoy,1.0,1.0,85
Eddie Johnson,1989,smoy,33.0,33.0,85
Thurl Bailey,1989,smoy,26.0,26.0,85
Dennis Rodman,1989,smoy,17.0,17.0,85
John Williams,1989,smoy,4.0,4.0,85
Xavier McDaniel,1989,smoy,2.0,2.0,85
Ron Anderson,1989,smoy,1.0,1.0,85
Ricky Pierce,1989,smoy,1.0,1.0,85
Hot Rod Williams,1989,smoy,1.0,1.0,85
Kevin Johnson,1989,mip,48.0,48.0,85
Reggie Lewis,1989,mip,14.0,14.0,85
Chris Mullin,1989,mip,12.0,12.0,85
Ron Anderson,1989,mip,2.0,2.0,85
Ken Norman,1989,mip,2.0,2.0,85
Kelly Tripucka,1989,mip,2.0,2.0,85
Patrick Ewing,1989,mip,1.0,1.0,85
Larry Krystkowiak,1989,mip,1.0,1.0,85
Derrick McKey,1989,mip,1.0,1.0,85
Scottie Pippen,1989,mip,1.0,1.0,85
Dennis Rodman,1989,mip,1.0,1.0,85
Magic Johnson,1990,mvp,27.0,636.0,920
Charles Barkley,1990,mvp,38.0,614.0,920
Michael Jordan,1990,mvp,21.0,564.0,920
Karl Malone,1990,mvp,2.0,214.0,920
Patrick Ewing,1990,mvp,1.0,162.0,920
David Robinson,1990,mvp,2.0,102.0,920
Hakeem Olajuwon,1990,mvp,1.0,64.0,920
Tom Chambers,1990,mvp,0.0,12.0,920
John Stockton,1990,mvp,0.0,9.0,920
Larry Bird,1990,mvp,0.0,5.0,920
Buck Williams,1990,mvp,0.0,5.0,920
Clyde Drexler,1990,mvp,0.0,3.0,920
Joe Dumars,1990,mvp,0.0,1.0,920
Isiah Thomas,1990,mvp,0.0,1.0,920
David Robinson,1990,roy,92.0,92.0,92
Dennis Rodman,1990,dpoy,49.0,49.0,92
Hakeem Olajuwon,1990,dpoy,35.0,35.0,92
Joe Dumars,1990,dpoy,2.0,2.0,92
Derek Harper,1990,dpoy,2.0,2.0,92
Mark Eaton,1990,dpoy,1.0,1.0,92
Patrick Ewing,1990,dpoy,1.0,1.0,92
Michael Jordan,1990,dpoy,1.0,1.0,92
Alvin Robertson,1990,dpoy,1.0,1.0,92
Ricky Pierce,1990,smoy,77.0,77.0,92
Detlef Schrempf,1990,smoy,8.0,8.0,92
Eddie Johnson,1990,smoy,2.0,2.0,92
John Williams,1990,smoy,2.0,2.0,92
Orlando Woolridge,1990,smoy,2.0,2.0,92
Antoine Carr,1990,smoy,1.0,1.0,92
Rony Seikaly,1990,mip,37.0,37.0,92
Reggie Miller,1990,mip,30.0,30.0,92
Tony Campbell,1990,mip,13.0,13.0,92
Jeff Hornacek,1990,mip,4.0,4.0,92
Hersey Hawkins,1990,mip,3.0,3.0,92
Scottie Pippen,1990,mip,1.0,1.0,92
Detlef Schrempf,1990,mip,1.0,1.0,92
Derek Smith,1990,mip,1.0,1.0,92
Roy Tarpley,1990,mip,1.0,1.0,92
Mark West,1990,mip,1.0,1.0,92
Michael Jordan,1991,mvp,77.0,891.0,960
Magic Johnson,1991,mvp,10.0,497.0,960
David Robinson,1991,mvp,6.0,476.0,960
Charles Barkley,1991,mvp,2.0,222.0,960
Karl Malone,1991,mvp,0.0,142.0,960
Clyde Drexler,1991,mvp,1.0,75.0,960
Kevin Johnson,1991,mvp,0.0,32.0,960
Dominique Wilkins,1991,mvp,0.0,29.0,960
Larry Bird,1991,mvp,0.0,25.0,960
Terry Porter,1991,mvp,0.0,25.0,960
Patrick Ewing,1991,mvp,0.0,20.0,960
John Stockton,1991,mvp,0.0,15.0,960
Isiah Thomas,1991,mvp,0.0,11.0,960
Robert Parish,1991,mvp,0.0,10.0,960
Joe Dumars,1991,mvp,0.0,8.0,960
Bernard King,1991,mvp,0.0,7.0,960
Kenny Smith,1991,mvp,0.0,5.0,960
Hakeem Olajuwon,1991,mvp,0.0,4.0,960
Tim Hardaway,1991,mvp,0.0,1.0,960
Kevin McHale,1991,mvp,0.0,1.0,960
Derrick Coleman,1991,roy,69.0,69.0,96
Lionel Simmons,1991,roy,22.0,22.0,96
Dennis Scott,1991,roy,3.0,3.0,96
Dee Brown,1991,roy,2.0,2.0,96
Dennis Rodman,1991,dpoy,51.0,51.0,96
David Robinson,1991,dpoy,18.0,18.0,96
Alvin Robertson,1991,dpoy,15.0,15.0,96
Joe Dumars,1991,dpoy,3.0,3.0,96
Hakeem Olajuwon,1991,dpoy,2.0,2.0,96
Buck Williams,1991,dpoy,2.0,2.0,96
Patrick Ewing,1991,dpoy,1.0,1.0,96
Derek Harper,1991,dpoy,1.0,1.0,96
Michael Jordan,1991,dpoy,1.0,1.0,96
Scottie Pippen,1991,dpoy,1.0,1.0,96
John Stockton,1991,dpoy,1.0,1.0,96
Detlef Schrempf,1991,smoy,38.0,38.0,96
Dan Majerle,1991,smoy,37.0,37.0,96
Kevin McHale,1991,smoy,8.0,8.0,96
Ricky Pierce,1991,smoy,6.0,6.0,96
Danny Ainge,1991,smoy,3.0,3.0,96
Thurl Bailey,1991,smoy,1.0,1.0,96
Moses Malone,1991,smoy,1.0,1.0,96
Jerry Reynolds,1991,smoy,1.0,1.0,96
Larry Smith,1991,smoy,1.0,1.0,96
Scott Skiles,1991,mip,25.0,25.0,96
Kevin Gamble,1991,mip,21.0,21.0,96
Kenny Smith,1991,mip,20.0,20.0,96
Harvey Grant,1991,mip,12.0,12.0,96
Tim Hardaway,1991,mip,6.0,6.0,96
Sean Elliott,1991,mip,3.0,3.0,96
Shawn Kemp,1991,mip,2.0,2.0,96
Michael Adams,1991,mip,1.0,1.0,96
Rex Chapman,1991,mip,1.0,1.0,96
Derek Harper,1991,mip,1.0,1.0,96
Bernard King,1991,mip,1.0,1.0,96
Scottie Pippen,1991,mip,1.0,1.0,96
Larry Smith,1991,mip,1.0,1.0,96
Spud Webb,1991,mip,1.0,1.0,96
Michael Jordan,1992,mvp,80.0,900.0,960
Clyde Drexler,1992,mvp,12.0,561.0,960
David Robinson,1992,mvp,2.0,337.0,960
Karl Malone,1992,mvp,1.0,262.0,960
Patrick Ewing,1992,mvp,0.0,100.0,960
Chris Mullin,1992,mvp,0.0,81.0,960
Mark Price,1992,mvp,0.0,66.0,960
Tim Hardaway,1992,mvp,0.0,64.0,960
Scottie Pippen,1992,mvp,1.0,32.0,960
Dennis Rodman,1992,mvp,0.0,26.0,960
Brad Daugherty,1992,mvp,0.0,24.0,960
Charles Barkley,1992,mvp,0.0,18.0,960
John Stockton,1992,mvp,0.0,18.0,960
Larry Bird,1992,mvp,0.0,3.0,960
Kevin Johnson,1992,mvp,0.0,2.0,960
Danny Manning,1992,mvp,0.0,1.0,960
Detlef Schrempf,1992,mvp,0.0,1.0,960
Larry Johnson,1992,roy,90.5,90.5,96
Dikembe Mutombo,1992,roy,3.5,3.5,96
Billy Owens,1992,roy,2.0,2.0,96
David Robinson,1992,dpoy,46.0,46.0,96
Dennis Rodman,1992,dpoy,39.0,39.0,96
Michael Jordan,1992,dpoy,3.0,3.0,96
Scottie Pippen,1992,dpoy,3.0,3.0,96
Joe Dumars,1992,dpoy,2.0,2.0,96
Karl Malone,1992,dpoy,1.0,1.0,96
Hakeem Olajuwon,1992,dpoy,1.0,1.0,96
Buck Williams,1992,dpoy,1.0,1.0,96
Detlef Schrempf,1992,smoy,54.0,54.0,96
Šarūnas Marčiulionis,1992,smoy,21.0,21.0,96
Dan Majerle,1992,smoy,19.0,19.0,96
Tyrone Corbin,1992,smoy,1.0,1.0,96
John Starks,1992,smoy,1.0,1.0,96
Pervis Ellison,1992,mip,40.0,40.0,96
Dražen Petrović,1992,mip,22.0,22.0,96
Kevin Willis,1992,mip,12.0,12.0,96
Glen Rice,1992,mip,4.0,4.0,96
Reggie Williams,1992,mip,4.0,4.0,96
Tim Perry,1992,mip,3.0,3.0,96
John Starks,1992,mip,3.0,3.0,96
Kendall Gill,1992,mip,2.0,2.0,96
Grant Long,1992,mip,2.0,2.0,96
Šarūnas Marčiulionis,1992,mip,2.0,2.0,96
Mookie Blaylock,1992,mip,1.0,1.0,96
Micheal Williams,1992,mip,1.0,1.0,96
Charles Barkley,1993,mvp,59.0,835.0,980
Hakeem Olajuwon,1993,mvp,22.0,647.0,980
Michael Jordan,1993,mvp,13.0,565.0,980
Patrick Ewing,1993,mvp,4.0,359.0,980
Dominique Wilkins,1993,mvp,0.0,54.0,980
David Robinson,1993,mvp,0.0,33.0,980
Shaquille O'Neal,1993,mvp,0.0,30.0,980
Karl Malone,1993,mvp,0.0,10.0,980
Mark Price,1993,mvp,0.0,10.0,980
Brad Daugherty,1993,mvp,0.0,1.0,980
Clyde Drexler,1993,mvp,0.0,1.0,980
Joe Dumars,1993,mvp,0.0,1.0,980
Shawn Kemp,1993,mvp,0.0,1.0,980
John Stockton,1993,mvp,0.0,1.0,980
Shaquille O'Neal,1993,roy,96.0,96.0,98
Alonzo Mourning,1993,roy,2.0,2.0,98
Hakeem Olajuwon,1993,dpoy,73.0,73.0,98
Michael Jordan,1993,dpoy,9.0,9.0,98
David Robinson,1993,dpoy,9.0,9.0,98
Dennis Rodman,1993,dpoy,3.0,3.0,98
Patrick Ewing,1993,dpoy,1.0,1.0,98
Dan Majerle,1993,dpoy,1.0,1.0,98
Charles Oakley,1993,dpoy,1.0,1.0,98
John Starks,1993,dpoy,1.0,1.0,98
Clifford Robinson,1993,smoy,89.0,89.0,98
Danny Ainge,1993,smoy,3.0,3.0,98
Anthony Mason,1993,smoy,3.0,3.0,98
Dell Curry,1993,smoy,2.0,2.0,98
Tom Chambers,1993,smoy,1.0,1.0,98
Mahmoud Abdul-Rauf,1993,mip,25.0,25.0,98
Eric Murdock,1993,mip,14.0,14.0,98
Kenny Anderson,1993,mip,13.0,13.0,98
John Starks,1993,mip,11.0,11.0,98
Clifford Robinson,1993,mip,9.0,9.0,98
Gary Payton,1993,mip,8.0,8.0,98
Derrick Coleman,1993,mip,3.0,3.0,98
Blue Edwards,1993,mip,2.0,2.0,98
Doug West,1993,mip,2.0,2.0,98
Alaa Abdelnaby,1993,mip,1.0,1.0,98
Mookie Blaylock,1993,mip,1.0,1.0,98
Cedric Ceballos,1993,mip,1.0,1.0,98
Shawn Kemp,1993,mip,1.0,1.0,98
Terry Mills,1993,mip,1.0,1.0,98
Dražen Petrović,1993,mip,1.0,1.0,98
Hakeem Olajuwon,1994,mvp,66.0,889.0,1010
David Robinson,1994,mvp,24.0,730.0,1010
Scottie Pippen,1994,mvp,7.0,390.0,1010
Shaquille O'Neal,1994,mvp,3.0,289.0,1010
Patrick Ewing,1994,mvp,1.0,255.0,1010
Gary Payton,1994,mvp,0.0,20.0,1010
Shawn Kemp,1994,mvp,0.0,17.0,1010
Karl Malone,1994,mvp,0.0,17.0,1010
Mark Price,1994,mvp,0.0,7.0,1010
Charles Barkley,1994,mvp,0.0,5.0,1010
Mookie Blaylock,1994,mvp,0.0,1.0,1010
Kevin Johnson,1994,mvp,0.0,1.0,1010
Dennis Rodman,1994,mvp,0.0,1.0,1010
Latrell Sprewell,1994,mvp,0.0,1.0,1010
John Stockton,1994,mvp,0.0,1.0,1010
Dominique Wilkins,1994,mvp,0.0,1.0,1010
Kevin Willis,1994,mvp,0.0,1.0,1010
Chris Webber,1994,roy,53.0,53.0,101
Anfernee Hardaway,1994,roy,47.0,47.0,101
Jamal Mashburn,1994,roy,1.0,1.0,101
Hakeem Olajuwon,1994,dpoy,23.0,23.0,101
David Robinson,1994,dpoy,22.0,22.0,101
Dikembe Mutombo,1994,dpoy,19.0,19.0,101
Scottie Pippen,1994,dpoy,11.0,11.0,101
Gary Payton,1994,dpoy,9.0,9.0,101
Dennis Rodman,1994,dpoy,8.0,8.0,101
Mookie Blaylock,1994,dpoy,3.0,3.0,101
Nate McMillan,1994,dpoy,3.0,3.0,101
Charles Oakley,1994,dpoy,2.0,2.0,101
Horace Grant,1994,dpoy,1.0,1.0,101
Dell Curry,1994,smoy,46.0,46.0,101
Nate McMillan,1994,smoy,37.0,37.0,101
Craig Ehlo,1994,smoy,7.0,7.0,101
Ricky Pierce,1994,smoy,3.0,3.0,101
Armen Gilliam,1994,smoy,2.0,2.0,101
Mario Elie,1994,smoy,1.0,1.0,101
Steve Kerr,1994,smoy,1.0,1.0,101
Anthony Mason,1994,smoy,1.0,1.0,101
Johnny Newman,1994,smoy,1.0,1.0,101
Dennis Rodman,1994,smoy,1.0,1.0,101
Orlando Woolridge,1994,smoy,1.0,1.0,101
Don MacLean,1994,mip,55.0,55.0,101
Latrell Sprewell,1994,mip,29.0,29.0,101
Gary Payton,1994,mip,5.0,5.0,101
Mookie Blaylock,1994,mip,2.0,2.0,101
Dale Davis,1994,mip,2.0,2.0,101
Rod Strickland,1994,mip,2.0,2.0,101
Vincent Askew,1994,mip,1.0,1.0,101
Dana Barros,1994,mip,1.0,1.0,101
Rex Chapman,1994,mip,1.0,1.0,101
Bison Dele,1994,mip,1.0,1.0,101
Pete Myers,1994,mip,1.0,1.0,101
Olden Polynice,1994,mip,1.0,1.0,101
David Robinson,1995,mvp,73.0,901.0,1050
Shaquille O'Neal,1995,mvp,12.0,605.0,1050
Karl Malone,1995,mvp,14.0,532.0,1050
Patrick Ewing,1995,mvp,2.0,230.0,1050
Hakeem Olajuwon,1995,mvp,1.0,147.0,1050
Charles Barkley,1995,mvp,1.0,96.0,1050
Scottie Pippen,1995,mvp,1.0,83.0,1050
John Stockton,1995,mvp,1.0,47.0,1050
Gary Payton,1995,mvp,0.0,34.0,1050
Anfernee Hardaway,1995,mvp,0.0,23.0,1050
Michael Jordan,1995,mvp,0.0,12.0,1050
Dennis Rodman,1995,mvp,0.0,9.0,1050
Jason Kidd,1995,mvp,0.0,7.0,1050
Clyde Drexler,1995,mvp,0.0,3.0,1050
Cedric Ceballos,1995,mvp,0.0,1.0,1050
Grant Hill,1995,roy,43.0,43.0,105
Jason Kidd,1995,roy,43.0,43.0,105
Glenn Robinson,1995,roy,15.0,15.0,105
Eddie Jones,1995,roy,2.0,2.0,105
Brian Grant,1995,roy,1.0,1.0,105
Juwan Howard,1995,roy,1.0,1.0,105
Dikembe Mutombo,1995,dpoy,45.0,45.0,105
Scottie Pippen,1995,dpoy,16.0,16.0,105
Hakeem Olajuwon,1995,dpoy,13.0,13.0,105
David Robinson,1995,dpoy,12.0,12.0,105
Dennis Rodman,1995,dpoy,11.0,11.0,105
Derrick McKey,1995,dpoy,2.0,2.0,105
Nate McMillan,1995,dpoy,2.0,2.0,105
Alonzo Mourning,1995,dpoy,2.0,2.0,105
Gary Payton,1995,dpoy,2.0,2.0,105
Anthony Mason,1995,smoy,47.0,47.0,105
Dell Curry,1995,smoy,18.0,18.0,105
Chuck Person,1995,smoy,12.0,12.0,105
Nate McMillan,1995,smoy,9.0,9.0,105
Dennis Scott,1995,smoy,7.0,7.0,105
Byron Scott,1995,smoy,6.0,6.0,105
Antoine Carr,1995,smoy,3.0,3.0,105
Chris Gatling,1995,smoy,2.0,2.0,105
Armen Gilliam,1995,smoy,1.0,1.0,105
Dana Barros,1995,mip,50.0,50.0,105
Elliot Perry,1995,mip,15.0,15.0,105
Scott Burrell,1995,mip,8.0,8.0,105
Gheorghe Mureșan,1995,mip,8.0,8.0,105
Allan Houston,1995,mip,6.0,6.0,105
Avery Johnson,1995,mip,4.0,4.0,105
Tyrone Hill,1995,mip,3.0,3.0,105
Popeye Jones,1995,mip,3.0,3.0,105
Cedric Ceballos,1995,mip,1.0,1.0,105
Vlade Divac,1995,mip,1.0,1.0,105
Chris Gatling,1995,mip,1.0,1.0,105
Jim Jackson,1995,mip,1.0,1.0,105
Rodney Rogers,1995,mip,1.0,1.0,105
Rik Smits,1995,mip,1.0,1.0,105
Nick Van Exel,1995,mip,1.0,1.0,105
Walt Williams,1995,mip,1.0,1.0,105
Michael Jordan,1996,mvp,109.0,1114.0,1130
David Robinson,1996,mvp,0.0,574.0,1130
Anfernee Hardaway,1996,mvp,2.0,360.0,1130
Hakeem Olajuwon,1996,mvp,1.0,238.0,1130
Scottie Pippen,1996,mvp,0.0,226.0,1130
Gary Payton,1996,mvp,0.0,98.0,1130
Karl Malone,1996,mvp,1.0,85.0,1130
Shawn Kemp,1996,mvp,0.0,73.0,1130
Grant Hill,1996,mvp,0.0,63.0,1130
Shaquille O'Neal,1996,mvp,0.0,63.0,1130
John Stockton,1996,mvp,0.0,12.0,1130
Charles Barkley,1996,mvp,0.0,8.0,1130
Magic Johnson,1996,mvp,0.0,8.0,1130
Alonzo Mourning,1996,mvp,0.0,6.0,1130
Dennis Rodman,1996,mvp,0.0,4.0,1130
Terrell Brandon,1996,mvp,0.0,3.0,1130
Mitch Richmond,1996,mvp,0.0,3.0,1130
Damon Stoudamire,1996,roy,76.0,76.0,113
Arvydas Sabonis,1996,roy,17.0,17.0,113
Joe Smith,1996,roy,15.0,15.0,113
Michael Finley,1996,roy,2.0,2.0,113
Jerry Stackhouse,1996,roy,2.0,2.0,113
Kevin Garnett,1996,roy,1.0,1.0,113
Gary Payton,1996,dpoy,56.0,56.0,113
Scottie Pippen,1996,dpoy,15.0,15.0,113
Dikembe Mutombo,1996,dpoy,11.0,11.0,113
David Robinson,1996,dpoy,9.0,9.0,113
Hakeem Olajuwon,1996,dpoy,8.0,8.0,113
Michael Jordan,1996,dpoy,7.0,7.0,113
Dennis Rodman,1996,dpoy,4.0,4.0,113
Horace Grant,1996,dpoy,1.0,1.0,113
Bo Outlaw,1996,dpoy,1.0,1.0,113
Latrell Sprewell,1996,dpoy,1.0,1.0,113
Toni Kukoč,1996,smoy,45.0,45.0,113
Arvydas Sabonis,1996,smoy,24.0,24.0,113
Jayson Williams,1996,smoy,14.0,14.0,113
Sam Cassell,1996,smoy,11.0,11.0,113
Magic Johnson,1996,smoy,9.0,9.0,113
Chuck Person,1996,smoy,5.0,5.0,113
Dell Curry,1996,smoy,2.0,2.0,113
Chris Gatling,1996,smoy,2.0,2.0,113
Steve Kerr,1996,smoy,1.0,1.0,113
Gheorghe Mureșan,1996,mip,50.0,50.0,113
George McCloud,1996,mip,23.0,23.0,113
Terrell Brandon,1996,mip,6.0,6.0,113
Danny Ferry,1996,mip,6.0,6.0,113
Bison Dele,1996,mip,4.0,4.0,113
Tracy Murray,1996,mip,4.0,4.0,113
Elden Campbell,1996,mip,3.0,3.0,113
Shawn Bradley,1996,mip,2.0,2.0,113
Chris Childs,1996,mip,2.0,2.0,113
Allan Houston,1996,mip,2.0,2.0,113
Bobby Phills,1996,mip,2.0,2.0,113
Dennis Scott,1996,mip,2.0,2.0,113
David Wesley,1996,mip,2.0,2.0,113
Greg Anthony,1996,mip,1.0,1.0,113
Vinny Del Negro,1996,mip,1.0,1.0,113
Matt Geiger,1996,mip,1.0,1.0,113
Juwan Howard,1996,mip,1.0,1.0,113
Jayson Williams,1996,mip,1.0,1.0,113
Karl Malone,1997,mvp,63.0,986.0,1150
Michael Jordan,1997,mvp,52.0,957.0,1150
