,player,season,age,team,position,g,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_pct,two_p,two_pa,two_pct,efg,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl,season_num,gs_pct,award,first_place_votes,award_pts_won,award_pts_max
8307,Kelan Martin,2020,24,MIN,SF,31,4.0,495.0,71,181,0.392,25.0,96.0,0.26,46,85,0.541,0.461,30,31,0.968,12.0,84.0,96.0,23,7.0,9.0,20.0,51,197,0.0,1.0,0.12903225806451613,,0.0,0.0,500.0
8309,Kenyon Martin,2001,23,NJN,PF,68,68.0,2272.0,346,777,0.445,1.0,11.0,0.091,345,766,0.45,0.446,121,192,0.63,137.0,365.0,502.0,131,78.0,113.0,138.0,281,814,1.0,1.0,1.0,roy,36.0,36.0,124.0
8325,Kevin Martin,2005,21,SAC,PG,45,0.0,455.0,45,117,0.385,5.0,25.0,0.2,40,92,0.435,0.406,36,55,0.655,29.0,29.0,58.0,22,16.0,3.0,24.0,35,131,0.0,1.0,0.0,,0.0,0.0,630.0
8337,LaRue Martin,1973,22,POR,C,77,N/A,996.0,145,366,0.396,0.0,0.0,0.0,145,366,0.396,0.396,50,77,0.649,N/A,N/A,358.0,42,N/A,N/A,N/A,162,340,0.0,1.0,N/A,,0.0,0.0,17.0
8341,Maurice Martin,1987,22,DEN,SF,43,0.0,286.0,51,135,0.37799999999999995,3.0,15.0,0.2,48,120,0.4,0.389,42,66,0.636,12.0,29.0,41.0,35,13.0,6.0,33.0,48,147,0.0,1.0,0.0,,0.0,0.0,78.0
8356,Jamal Mashburn,1994,21,DAL,SF,79,73.0,2896.0,561,1382,0.406,85.0,299.0,0.284,476,1083,0.44,0.43700000000000006,306,438,0.6990000000000001,107.0,246.0,353.0,266,89.0,14.0,245.0,205,1513,0.0,1.0,0.9240506329113924,roy,1.0,1.0,101.0
8369,Anthony Mason,1990,23,NJN,PF,21,0.0,108.0,14,40,0.35,0.0,0.0,N/A,14,40,0.35,0.35,9,15,0.6,11.0,23.0,34.0,7,2.0,2.0,11.0,20,37,0.0,1.0,0.0,,0.0,0.0,92.0
8382,Desmond Mason,2001,23,SEA,SF,78,14.0,1522.0,189,439,0.431,18.0,67.0,0.26899999999999996,171,372,0.46,0.451,67,91,0.736,72.0,177.0,249.0,63,39.0,20.0,53.0,146,463,0.0,1.0,0.1794871794871795,,0.0,0.0,124.0
8392,Frank Mason,2018,23,SAC,PG,52,2.0,984.0,144,380,0.379,31.0,86.0,0.36,113,294,0.384,0.42,94,115,0.8170000000000001,30.0,100.0,130.0,147,34.0,10.0,65.0,72,413,0.0,1.0,0.038461538461538464,,0.0,0.0,505.0
8396,Roger Mason,2003,22,CHI,SF,17,0.0,113.0,11,31,0.355,6.0,18.0,0.33299999999999996,5,13,0.385,0.452,2,2,1.0,2.0,10.0,12.0,12,4.0,0.0,5.0,20,30,0.0,1.0,0.0,,0.0,0.0,585.0
8406,Tony Massenburg,1991,23,SAS,PF,35,0.0,161.0,27,60,0.45,0.0,0.0,N/A,27,60,0.45,0.45,28,45,0.622,23.0,35.0,58.0,4,4.0,9.0,13.0,26,82,0.0,1.0,0.0,,0.0,0.0,96.0
8419,Eddie Mast,1971,22,NYK,PF,30,N/A,164.0,25,66,0.379,0.0,0.0,0.0,25,66,0.379,0.379,11,20,0.55,N/A,N/A,56.0,4,N/A,N/A,N/A,25,61,0.0,1.0,N/A,,0.0,0.0,98.0
8422,Yante Maten,2019,22,MIA,PF,2,0.0,13.0,1,4,0.25,0.0,1.0,0.0,1,3,0.33299999999999996,0.25,0,0,0.0,1.0,2.0,3.0,0,1.0,0.0,0.0,0,2,0.0,1.0,0.0,,0.0,0.0,500.0
8423,Garrison Mathews,2020,23,WAS,SG,18,0.0,227.0,24,56,0.429,19.0,46.0,0.413,5,10,0.5,0.598,31,34,0.912,6.0,18.0,24.0,10,8.0,1.0,8.0,32,98,0.0,1.0,0.0,,0.0,0.0,500.0
8425,Mangok Mathiang,2018,25,CHO,C,4,0.0,20.0,4,7,0.5710000000000001,0.0,0.0,N/A,4,7,0.5710000000000001,0.5710000000000001,0,1,0.0,3.0,7.0,10.0,0,1.0,0.0,0.0,5,8,0.0,1.0,0.0,,0.0,0.0,505.0
8427,Wes Matthews,1981,21,WSB ATL ,PG,79,N/A,2266.0,385,779,0.494,5.0,21.0,0.23800000000000002,380,758,0.501,0.49700000000000005,202,252,0.802,46.0,93.0,139.0,411,107.0,17.0,261.0,242,977,0.0,1.0,N/A,,0.0,0.0,69.0
8436,Wesley Matthews,2010,23,UTA,SG,82,48.0,2025.0,273,565,0.483,63.0,165.0,0.382,210,400,0.525,0.539,160,193,0.8290000000000001,50.0,141.0,191.0,124,64.0,15.0,93.0,152,769,0.0,1.0,0.5853658536585366,,0.0,0.0,615.0
8450,Marlon Maxey,1993,23,MIN,PF,43,3.0,520.0,93,169,0.55,0.0,1.0,0.0,93,168,0.5539999999999999,0.55,45,70,0.643,66.0,98.0,164.0,12,11.0,18.0,38.0,75,231,0.0,1.0,0.06976744186046512,,0.0,0.0,98.0
8453,Jason Maxiell,2006,22,DET,PF,26,0.0,159.0,23,54,0.426,0.0,0.0,N/A,23,54,0.426,0.426,14,42,0.33299999999999996,12.0,16.0,28.0,3,4.0,5.0,11.0,14,60,0.0,1.0,0.0,,0.0,0.0,625.0
8463,Cedric Maxwell,1978,22,BOS,SF,72,N/A,1213.0,170,316,0.5379999999999999,N/A,N/A,N/A,170,316,0.5379999999999999,0.5379999999999999,188,250,0.752,138.0,241.0,379.0,68,53.0,48.0,122.0,151,528,0.0,1.0,N/A,,0.0,0.0,66.0
8474,Vernon Maxwell,1989,23,SAS,SG,79,36.0,2065.0,357,827,0.43200000000000005,32.0,129.0,0.248,325,698,0.466,0.451,181,243,0.745,49.0,153.0,202.0,301,86.0,8.0,178.0,136,927,0.0,1.0,0.45569620253164556,,0.0,0.0,85.0
8487,Don May,1969,23,NYK,SF,48,N/A,560.0,81,223,0.363,0.0,0.0,0.0,81,223,0.363,0.363,42,58,0.7240000000000001,N/A,N/A,114.0,35,N/A,N/A,N/A,64,204,0.0,1.0,N/A,,0.0,0.0,78.0
8494,Scott May,1977,22,CHI,SF,72,N/A,2369.0,431,955,0.451,N/A,N/A,N/A,431,955,0.451,0.451,188,227,0.828,141.0,296.0,437.0,145,78.0,17.0,N/A,185,1050,0.0,1.0,N/A,,0.0,0.0,66.0
8501,Sean May,2006,21,CHA,PF,23,1.0,398.0,70,171,0.409,0.0,5.0,0.0,70,166,0.42200000000000004,0.409,49,64,0.7659999999999999,42.0,67.0,109.0,22,17.0,12.0,33.0,58,189,0.0,1.0,0.043478260869565216,,0.0,0.0,625.0
8505,Lee Mayberry,1993,22,MIL,PG,82,4.0,1503.0,171,375,0.456,43.0,110.0,0.391,128,265,0.483,0.513,39,68,0.574,26.0,92.0,118.0,273,59.0,7.0,85.0,148,424,0.0,1.0,0.04878048780487805,,0.0,0.0,98.0
8512,Clyde Mayes,1976,22,MIL,PF,65,N/A,948.0,114,248,0.46,0.0,0.0,0.0,114,248,0.46,0.46,56,97,0.5770000000000001,97.0,166.0,263.0,37,9.0,42.0,N/A,154,284,0.0,1.0,N/A,,0.0,0.0,18.0
8514,Tharon Mayes,1992,23,PHI LAC ,SG,24,0.0,255.0,30,99,0.303,15.0,41.0,0.366,15,58,0.259,0.379,24,36,0.667,3.0,13.0,16.0,35,16.0,2.0,31.0,41,99,0.0,1.0,0.0,,0.0,0.0,96.0
8515,Bill Mayfield,1981,23,GSW,SF,7,N/A,54.0,8,18,0.444,0.0,0.0,N/A,8,18,0.444,0.444,1,2,0.5,7.0,2.0,9.0,1,0.0,1.0,3.0,8,17,0.0,1.0,N/A,,0.0,0.0,69.0
8516,Ken Mayfield,1976,27,NYK,SG,13,N/A,64.0,17,46,0.37,0.0,0.0,0.0,17,46,0.37,0.37,3,3,1.0,1.0,7.0,8.0,4,0.0,0.0,N/A,18,37,0.0,1.0,N/A,,0.0,0.0,18.0
8517,Eric Maynor,2010,22,UTA OKC ,PG,81,2.0,1269.0,154,368,0.418,22.0,71.0,0.31,132,297,0.444,0.44799999999999995,52,72,0.722,21.0,108.0,129.0,266,40.0,10.0,85.0,115,382,0.0,1.0,0.024691358024691357,,0.0,0.0,615.0
8522,O.J. Mayo,2009,21,MEM,SG,82,82.0,3120.0,562,1283,0.43799999999999994,145.0,378.0,0.384,417,905,0.461,0.495,247,281,0.879,56.0,252.0,308.0,262,91.0,13.0,226.0,204,1516,0.0,1.0,1.0,roy,5.0,246.0,600.0
8531,Travis Mays,1991,22,SAC,PG,64,55.0,2145.0,294,724,0.406,72.0,197.0,0.365,222,527,0.42100000000000004,0.456,255,331,0.77,54.0,124.0,178.0,253,81.0,11.0,159.0,169,915,0.0,1.0,0.859375,,0.0,0.0,96.0
8535,Luc Mbah a Moute,2009,22,MIL,PF,82,52.0,2114.0,227,491,0.462,0.0,4.0,0.0,227,487,0.466,0.462,140,192,0.7290000000000001,189.0,298.0,487.0,87,87.0,45.0,100.0,204,594,0.0,1.0,0.6341463414634146,,0.0,0.0,600.0
8547,Bob McAdoo,1973,21,BUF,PF,80,N/A,2562.0,585,1293,0.452,N/A,N/A,N/A,585,1293,0.452,0.452,271,350,0.774,N/A,N/A,728.0,139,N/A,N/A,N/A,256,1441,0.0,1.0,N/A,roy,12.8,12.8,17.0
8561,James Michael McAdoo,2015,22,GSW,PF,15,0.0,137.0,24,44,0.545,0.0,0.0,N/A,24,44,0.545,0.545,14,25,0.56,15.0,22.0,37.0,2,5.0,9.0,6.0,21,62,0.0,1.0,0.0,,0.0,0.0,650.0
8566,Tahjere McCall,2019,24,BRK,SG,1,0.0,8.0,2,3,0.667,0.0,1.0,0.0,2,2,1.0,0.667,0,1,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,2,4,0.0,1.0,0.0,,0.0,0.0,500.0
8567,Ray McCallum,2014,22,SAC,PG,45,10.0,897.0,113,300,0.377,22.0,59.0,0.373,91,241,0.37799999999999995,0.413,32,43,0.7440000000000001,18.0,61.0,79.0,120,22.0,9.0,39.0,69,280,0.0,1.0,0.2222222222222222,,0.0,0.0,620.0
8570,Bob McCann,1990,25,DAL,SF,10,0.0,62.0,7,21,0.33299999999999996,0.0,0.0,N/A,7,21,0.33299999999999996,0.33299999999999996,12,14,0.857,4.0,8.0,12.0,6,2.0,2.0,6.0,7,26,0.0,1.0,0.0,,0.0,0.0,92.0
8578,Mel McCants,1990,22,LAL,SF,13,0.0,65.0,8,26,0.308,0.0,0.0,N/A,8,26,0.308,0.308,6,8,0.75,1.0,5.0,6.0,2,3.0,1.0,1.0,11,22,0.0,1.0,0.0,,0.0,0.0,92.0
8579,Rashad McCants,2006,21,MIN,SG,79,12.0,1362.0,241,535,0.45,67.0,180.0,0.37200000000000005,174,355,0.49,0.513,78,106,0.736,29.0,114.0,143.0,63,44.0,22.0,86.0,176,627,0.0,1.0,0.1518987341772152,,0.0,0.0,625.0
8584,Andre McCarter,1977,23,KCK,PG,59,N/A,725.0,119,257,0.46299999999999997,N/A,N/A,N/A,119,257,0.46299999999999997,0.46299999999999997,32,45,0.711,16.0,39.0,55.0,99,23.0,0.0,N/A,63,270,0.0,1.0,N/A,,0.0,0.0,66.0
8587,Willie McCarter,1970,23,LAL,SG,40,N/A,861.0,132,349,0.37799999999999995,0.0,0.0,0.0,132,349,0.37799999999999995,0.37799999999999995,43,60,0.7170000000000001,N/A,N/A,83.0,93,N/A,N/A,N/A,71,307,0.0,1.0,N/A,,0.0,0.0,78.0
8596,Kelly McCarty,1999,23,DEN,SG,2,0.0,4.0,2,3,0.667,0.0,0.0,N/A,2,3,0.667,0.667,0,0,0.0,2.0,1.0,3.0,0,0.0,0.0,2.0,0,4,0.0,1.0,0.0,,0.0,0.0,118.0
8597,Walter McCarty,1997,22,NYK,PF,35,0.0,192.0,26,68,0.382,4.0,14.0,0.28600000000000003,22,54,0.40700000000000003,0.41200000000000003,8,14,0.5710000000000001,8.0,15.0,23.0,13,7.0,9.0,17.0,38,64,0.0,1.0,0.0,,0.0,0.0,115.0
8607,Amal McCaskill,1997,23,ORL,C,17,1.0,109.0,10,32,0.313,0.0,2.0,0.0,10,30,0.33299999999999996,0.313,8,12,0.667,4.0,18.0,22.0,7,3.0,5.0,11.0,7,28,0.0,1.0,0.058823529411764705,,0.0,0.0,115.0
8611,Patrick McCaw,2017,21,GSW,SG,71,20.0,1074.0,106,245,0.433,41.0,123.0,0.33299999999999996,65,122,0.5329999999999999,0.516,29,37,0.784,21.0,79.0,100.0,77,32.0,15.0,36.0,62,282,0.0,1.0,0.28169014084507044,,0.0,0.0,500.0
8615,Dwayne McClain,1986,22,IND,SF,45,4.0,461.0,69,180,0.38299999999999995,1.0,9.0,0.111,68,171,0.39799999999999996,0.386,18,35,0.514,14.0,16.0,30.0,67,38.0,4.0,40.0,61,157,0.0,1.0,0.08888888888888889,,0.0,0.0,78.0
8616,Ted McClain,1977,30,DEN,SG,72,N/A,2002.0,245,551,0.445,N/A,N/A,N/A,245,551,0.445,0.445,99,133,0.7440000000000001,52.0,177.0,229.0,324,106.0,13.0,N/A,255,589,0.0,1.0,N/A,,0.0,0.0,66.0
8619,Dan McClintock,2001,23,DEN,C,6,1.0,58.0,9,18,0.5,0.0,0.0,N/A,9,18,0.5,0.5,0,5,0.0,10.0,7.0,17.0,1,0.0,2.0,3.0,11,18,0.0,1.0,0.16666666666666666,,0.0,0.0,124.0
8621,George McCloud,1990,22,IND,SF,44,0.0,413.0,45,144,0.313,13.0,40.0,0.325,32,104,0.308,0.358,15,19,0.789,12.0,30.0,42.0,45,19.0,3.0,36.0,56,118,0.0,1.0,0.0,,0.0,0.0,92.0
8633,CJ McCollum,2014,22,POR,SG,38,0.0,476.0,74,178,0.41600000000000004,30.0,80.0,0.375,44,98,0.449,0.5,23,34,0.6759999999999999,7.0,41.0,48.0,27,14.0,2.0,35.0,53,201,0.0,1.0,0.0,,0.0,0.0,620.0
8643,T.J. McConnell,2016,23,PHI,PG,81,17.0,1606.0,218,464,0.47,31.0,89.0,0.348,187,375,0.499,0.503,26,41,0.634,43.0,207.0,250.0,367,95.0,10.0,140.0,114,493,0.0,1.0,0.20987654320987653,,0.0,0.0,650.0
8649,Keith McCord,1981,23,WSB,SG,2,N/A,9.0,2,4,0.5,0.0,0.0,N/A,2,4,0.5,0.5,0,0,0.0,1.0,1.0,2.0,1,0.0,0.0,2.0,0,4,0.0,1.0,N/A,,0.0,0.0,69.0
8650,Tim McCormick,1985,22,SEA,C,78,27.0,1584.0,269,483,0.557,0.0,1.0,0.0,269,482,0.5579999999999999,0.557,188,263,0.715,146.0,252.0,398.0,78,18.0,33.0,114.0,207,726,0.0,1.0,0.34615384615384615,,0.0,0.0,78.0
8658,Jelani McCoy,1999,21,SEA,C,26,0.0,331.0,56,76,0.737,0.0,0.0,N/A,56,76,0.737,0.737,21,42,0.5,27.0,52.0,79.0,4,11.0,20.0,10.0,42,133,0.0,1.0,0.0,,0.0,0.0,118.0
8666,Paul McCracken,1973,22,HOU,SG,24,N/A,305.0,44,89,0.494,0.0,0.0,0.0,44,89,0.494,0.494,23,39,0.59,N/A,N/A,51.0,17,N/A,N/A,N/A,32,111,0.0,1.0,N/A,,0.0,0.0,17.0
8669,Chris McCray,2007,22,MIL,SG,5,0.0,12.0,0,3,0.0,0.0,0.0,N/A,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,1,0,0.0,1.0,0.0,,0.0,0.0,640.0
8670,Rodney McCray,1984,22,HOU,SF,79,36.0,2081.0,335,672,0.499,1.0,4.0,0.25,334,668,0.5,0.499,182,249,0.731,173.0,277.0,450.0,176,53.0,54.0,120.0,205,853,0.0,1.0,0.45569620253164556,,0.0,0.0,76.0
8680,Scooter McCray,1984,23,SEA,PF,47,6.0,520.0,47,121,0.38799999999999996,0.0,0.0,N/A,47,121,0.38799999999999996,0.38799999999999996,35,50,0.7,45.0,70.0,115.0,44,11.0,19.0,34.0,73,129,0.0,1.0,0.1276595744680851,,0.0,0.0,76.0
8683,Erik McCree,2018,24,UTA,SF,4,0.0,8.0,0,2,0.0,0.0,1.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0,1.0,0.0,1.0,0,0,0.0,1.0,0.0,,0.0,0.0,505.0
8684,Chris McCullough,2016,20,BRK,PF,24,4.0,362.0,44,109,0.40399999999999997,13.0,34.0,0.382,31,75,0.413,0.46299999999999997,11,23,0.478,25.0,43.0,68.0,9,28.0,12.0,15.0,39,112,0.0,1.0,0.16666666666666666,,0.0,0.0,650.0
8687,John McCullough,1982,25,PHO,SG,8,0.0,23.0,9,13,0.6920000000000001,0.0,0.0,N/A,9,13,0.6920000000000001,0.6920000000000001,3,5,0.6,1.0,3.0,4.0,3,2.0,0.0,3.0,3,21,0.0,1.0,0.0,,0.0,0.0,69.0
8688,Clint McDaniel,1996,23,SAC,SG,12,0.0,71.0,8,23,0.348,2.0,6.0,0.33299999999999996,6,17,0.353,0.391,12,16,0.75,3.0,7.0,10.0,7,5.0,0.0,2.0,10,30,0.0,1.0,0.0,,0.0,0.0,113.0
8689,Xavier McDaniel,1986,22,SEA,SF,82,80.0,2706.0,576,1176,0.49,2.0,10.0,0.2,574,1166,0.49200000000000005,0.491,250,364,0.687,307.0,348.0,655.0,193,101.0,37.0,248.0,305,1404,0.0,1.0,0.975609756097561,roy,16.5,16.5,78.0
8702,Jalen McDaniels,2020,22,CHO,SF,16,0.0,293.0,33,70,0.47100000000000003,9.0,24.0,0.375,24,46,0.522,0.536,14,17,0.8240000000000001,15.0,50.0,65.0,13,8.0,3.0,11.0,36,89,0.0,1.0,0.0,,0.0,0.0,500.0
8704,Jim McDaniels,1972,23,SEA,C,12,N/A,235.0,51,123,0.415,N/A,N/A,N/A,51,123,0.415,0.415,11,18,0.611,N/A,N/A,82.0,9,N/A,N/A,N/A,26,113,0.0,1.0,N/A,,0.0,0.0,115.0
8709,K.J. McDaniels,2015,21,PHI HOU ,SG,62,15.0,1352.0,172,434,0.396,43.0,150.0,0.287,129,284,0.45399999999999996,0.446,100,133,0.752,65.0,135.0,200.0,72,44.0,70.0,105.0,126,487,0.0,1.0,0.24193548387096775,,0.0,0.0,650.0
8712,Doug McDermott,2015,23,CHI,SF,36,0.0,321.0,43,107,0.402,13.0,41.0,0.317,30,66,0.455,0.46299999999999997,10,15,0.667,6.0,37.0,43.0,6,4.0,1.0,17.0,29,109,0.0,1.0,0.0,,0.0,0.0,650.0
8720,Ben McDonald,1986,23,CLE,SF,21,0.0,266.0,28,58,0.483,0.0,1.0,0.0,28,57,0.491,0.483,5,8,0.625,15.0,23.0,38.0,9,7.0,1.0,10.0,30,61,0.0,1.0,0.0,,0.0,0.0,78.0
8724,Glenn McDonald,1975,22,BOS,SF,62,N/A,395.0,70,182,0.385,0.0,0.0,0.0,70,182,0.385,0.385,28,37,0.757,20.0,48.0,68.0,24,8.0,5.0,N/A,58,168,0.0,1.0,N/A,,0.0,0.0,18.0
8727,Michael McDonald,1998,28,CHH,C,1,0.0,4.0,0,0,0.0,0.0,0.0,N/A,0,0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,0,0.0,0.0,2.0,1,0,0.0,1.0,0.0,,0.0,0.0,116.0
8728,Hank McDowell,1982,22,GSW,PF,30,1.0,335.0,34,84,0.405,0.0,0.0,N/A,34,84,0.405,0.405,27,41,0.659,41.0,59.0,100.0,20,6.0,8.0,21.0,52,95,0.0,1.0,0.03333333333333333,,0.0,0.0,69.0
8734,Antonio McDyess,1996,21,DEN,PF,76,75.0,2280.0,427,881,0.485,0.0,4.0,0.0,427,877,0.48700000000000004,0.485,166,243,0.6829999999999999,229.0,343.0,572.0,75,54.0,114.0,154.0,250,1020,0.0,1.0,0.9868421052631579,,0.0,0.0,113.0
8749,Jim McElroy,1976,22,NOJ,PG,51,N/A,1134.0,151,296,0.51,N/A,N/A,N/A,151,296,0.51,0.51,81,110,0.736,34.0,76.0,110.0,107,44.0,4.0,N/A,70,383,0.0,1.0,N/A,,0.0,0.0,18.0
8756,Ivan McFarlin,2007,24,PHI,PF,11,0.0,41.0,5,13,0.385,0.0,1.0,0.0,5,12,0.41700000000000004,0.385,5,7,0.7140000000000001,7.0,4.0,11.0,1,0.0,0.0,1.0,8,15,0.0,1.0,0.0,,0.0,0.0,640.0
8757,Mitch McGary,2015,22,OKC,PF,32,2.0,485.0,88,165,0.5329999999999999,0.0,2.0,0.0,88,163,0.54,0.5329999999999999,25,40,0.625,53.0,112.0,165.0,14,16.0,16.0,31.0,72,201,0.0,1.0,0.0625,,0.0,0.0,650.0
8759,JaVale McGee,2009,21,WAS,C,75,14.0,1143.0,191,387,0.494,0.0,0.0,N/A,191,387,0.494,0.494,107,162,0.66,120.0,174.0,294.0,23,33.0,75.0,61.0,155,489,0.0,1.0,0.18666666666666668,,0.0,0.0,600.0
8772,Mike McGee,1982,22,LAL,SF,39,0.0,352.0,80,172,0.465,0.0,4.0,0.0,80,168,0.47600000000000003,0.465,31,53,0.585,34.0,15.0,49.0,16,18.0,3.0,34.0,59,191,0.0,1.0,0.0,,0.0,0.0,69.0
8784,George McGinnis,1976,25,PHI,PF,77,N/A,2946.0,647,1552,0.41700000000000004,N/A,N/A,N/A,647,1552,0.41700000000000004,0.41700000000000004,475,642,0.74,260.0,707.0,967.0,359,198.0,41.0,N/A,334,1769,5.0,1.0,N/A,,0.0,0.0,18.0
8791,Jon McGlocklin,1966,22,CIN,SG,72,N/A,852.0,153,363,0.42100000000000004,0.0,0.0,0.0,153,363,0.42100000000000004,0.42100000000000004,62,79,0.785,N/A,N/A,133.0,88,N/A,N/A,N/A,77,368,0.0,1.0,N/A,,0.0,0.0,86.0
8802,Tracy McGrady,1998,18,TOR,SF,64,17.0,1179.0,179,398,0.45,14.0,41.0,0.341,165,357,0.462,0.467,79,111,0.7120000000000001,105.0,164.0,269.0,98,49.0,61.0,66.0,86,451,0.0,1.0,0.265625,,0.0,0.0,116.0
8817,Gil McGregor,1972,22,CIN,PF,42,N/A,532.0,66,182,0.363,0.0,0.0,0.0,66,182,0.363,0.363,39,56,0.696,N/A,N/A,148.0,18,N/A,N/A,N/A,120,171,0.0,1.0,N/A,,0.0,0.0,115.0
8818,Rodney McGruder,2017,25,MIA,SG,78,65.0,1966.0,190,460,0.413,73.0,220.0,0.332,117,240,0.488,0.49200000000000005,44,71,0.62,94.0,162.0,256.0,124,46.0,18.0,56.0,140,497,0.0,1.0,0.8333333333333334,roy,0.0,1.0,500.0
8827,Allie McGuire,1974,22,NYK,SG,2,N/A,10.0,2,4,0.5,0.0,0.0,0.0,2,4,0.5,0.5,0,0,0.0,0.0,2.0,2.0,1,0.0,0.0,N/A,2,4,0.0,1.0,N/A,,0.0,0.0,17.0
8839,Dominic McGuire,2008,22,WAS,SG,70,1.0,695.0,39,103,0.379,1.0,6.0,0.16699999999999998,38,97,0.392,0.38299999999999995,14,32,0.43799999999999994,53.0,86.0,139.0,40,20.0,26.0,40.0,76,93,0.0,1.0,0.014285714285714285,,0.0,0.0,625.0
8845,Kevin McHale,1981,23,BOS,PF,82,1.0,1645.0,355,666,0.5329999999999999,0.0,2.0,0.0,355,664,0.535,0.5329999999999999,108,159,0.679,155.0,204.0,359.0,55,27.0,151.0,110.0,260,818,0.0,1.0,0.012195121951219513,roy,11.0,11.0,69.0
8858,Jim McIlvaine,1995,22,WSB,C,55,0.0,534.0,34,71,0.479,0.0,0.0,N/A,34,71,0.479,0.479,28,41,0.6829999999999999,40.0,65.0,105.0,10,10.0,60.0,19.0,95,96,0.0,1.0,0.0,,0.0,0.0,105.0
8865,Jeff McInnis,1997,22,DEN,PG,13,0.0,117.0,23,49,0.469,12.0,26.0,0.462,11,23,0.478,0.5920000000000001,7,10,0.7,2.0,4.0,6.0,18,2.0,1.0,13.0,16,65,0.0,1.0,0.0,,0.0,0.0,115.0
8876,Kenny McIntosh,1972,23,CHI,SF,43,N/A,405.0,57,168,0.33899999999999997,0.0,0.0,0.0,57,168,0.33899999999999997,0.33899999999999997,21,44,0.47700000000000004,N/A,N/A,89.0,18,N/A,N/A,N/A,41,135,0.0,1.0,N/A,,0.0,0.0,115.0
8880,Kevin McKenna,1982,23,LAL,SG,36,0.0,237.0,28,87,0.322,0.0,2.0,0.0,28,85,0.32899999999999996,0.322,11,17,0.647,18.0,11.0,29.0,14,10.0,2.0,20.0,45,67,0.0,1.0,0.0,,0.0,0.0,69.0
8886,Forrest McKenzie,1987,23,SAS,SF,6,0.0,42.0,7,28,0.25,1.0,2.0,0.5,6,26,0.231,0.268,2,2,1.0,2.0,5.0,7.0,1,1.0,0.0,3.0,9,17,0.0,1.0,0.0,,0.0,0.0,78.0
8887,Stan McKenzie,1968,23,BAL,SG,50,N/A,653.0,73,182,0.401,0.0,0.0,0.0,73,182,0.401,0.401,58,88,0.659,N/A,N/A,121.0,24,N/A,N/A,N/A,98,204,0.0,1.0,N/A,,0.0,0.0,79.0
8894,Derrick McKey,1988,21,SEA,SF,82,4.0,1706.0,255,519,0.491,11.0,30.0,0.36700000000000005,244,489,0.499,0.502,173,224,0.772,115.0,213.0,328.0,107,70.0,63.0,108.0,237,694,0.0,1.0,0.04878048780487805,,0.0,0.0,80.0
8909,Aaron McKie,1995,22,POR,SG,45,20.0,827.0,116,261,0.444,11.0,28.0,0.39299999999999996,105,233,0.451,0.466,50,73,0.685,35.0,94.0,129.0,89,36.0,16.0,39.0,97,293,0.0,1.0,0.4444444444444444,,0.0,0.0,105.0
8922,Billy McKinney,1979,23,KCK,PG,78,N/A,1242.0,240,477,0.503,N/A,N/A,N/A,240,477,0.503,0.503,129,162,0.7959999999999999,20.0,65.0,85.0,253,58.0,3.0,124.0,121,609,0.0,1.0,N/A,,0.0,0.0,66.0
8932,Carlton McKinney,1990,25,LAC,SG,7,0.0,104.0,8,32,0.25,0.0,1.0,0.0,8,31,0.258,0.25,2,4,0.5,4.0,8.0,12.0,7,6.0,1.0,7.0,15,18,0.0,1.0,0.0,,0.0,0.0,92.0
8934,Trey McKinney-Jones,2018,27,IND,SG,1,0.0,1.0,0,0,0.0,0.0,0.0,N/A,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,,0.0,0.0,505.0
8935,Alfonzo McKinnie,2018,25,TOR,SF,14,0.0,53.0,8,15,0.5329999999999999,3.0,9.0,0.33299999999999996,5,6,0.833,0.633,2,3,0.667,1.0,6.0,7.0,1,1.0,1.0,3.0,8,21,0.0,1.0,0.0,,0.0,0.0,505.0
8939,Jordan McLaughlin,2020,23,MIN,PG,30,2.0,590.0,87,178,0.489,29.0,76.0,0.382,58,102,0.569,0.57,26,39,0.667,7.0,42.0,49.0,125,34.0,4.0,31.0,31,229,0.0,1.0,0.06666666666666667,,0.0,0.0,500.0
8941,Ben McLemore,2014,20,SAC,SG,82,55.0,2187.0,255,679,0.376,95.0,297.0,0.32,160,382,0.419,0.446,115,143,0.804,53.0,182.0,235.0,82,45.0,18.0,96.0,201,720,0.0,1.0,0.6707317073170732,,0.0,0.0,620.0
8949,McCoy McLemore,1965,22,SFW,SF,78,N/A,1731.0,244,725,0.337,0.0,0.0,0.0,244,725,0.337,0.337,157,220,0.7140000000000001,N/A,N/A,488.0,81,N/A,N/A,N/A,224,645,0.0,1.0,N/A,,0.0,0.0,79.0
8958,Keith McLeod,2004,24,MIN,PG,33,0.0,391.0,27,82,0.32899999999999996,1.0,10.0,0.1,26,72,0.361,0.335,33,43,0.767,5.0,29.0,34.0,59,16.0,1.0,29.0,39,88,0.0,1.0,0.0,,0.0,0.0,590.0
