,player,season,age,team,position,g,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_pct,two_p,two_pa,two_pct,efg,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl,season_num,gs_pct,award,first_place_votes,award_pts_won,award_pts_max
4706,John Stroud,1981,23,HOU,SF,9,N/A,88.0,11,34,0.324,0.0,0.0,N/A,11,34,0.324,0.324,3,4,0.75,7.0,6.0,13.0,9,1.0,0.0,4.0,7,25,0.0,1.0,N/A,,0.0,0.0,69.0
4707,Max Strus,2020,23,CHI,SF,2,0.0,6.0,2,3,0.667,0.0,1.0,0.0,2,2,1.0,0.667,1,1,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,1,5,0.0,1.0,0.0,,0.0,0.0,500.0
4709,Rodney Stuckey,2008,21,DET,PG,57,2.0,1081.0,153,382,0.401,3.0,16.0,0.188,150,366,0.41,0.40399999999999997,127,156,0.8140000000000001,32.0,97.0,129.0,160,49.0,6.0,78.0,113,436,0.0,1.0,0.03508771929824561,,0.0,0.0,625.0
4720,Gary Suiter,1971,26,CLE,N/A,30,N/A,140.0,19,54,0.35200000000000004,0.0,0.0,0.0,19,54,0.35200000000000004,0.35200000000000004,4,9,0.444,N/A,N/A,41.0,2,N/A,N/A,N/A,20,42,0.0,1.0,N/A,,0.0,0.0,98.0
4721,Jared Sullinger,2013,20,BOS,PF,45,5.0,892.0,111,225,0.493,1.0,5.0,0.2,110,220,0.5,0.496,47,63,0.746,92.0,172.0,264.0,35,22.0,22.0,29.0,154,270,0.0,1.0,0.1111111111111111,,0.0,0.0,605.0
4726,DaJuan Summers,2010,22,DET,SF,44,0.0,405.0,46,130,0.354,15.0,42.0,0.35700000000000004,31,88,0.35200000000000004,0.41200000000000003,27,38,0.711,14.0,31.0,45.0,16,8.0,7.0,16.0,52,134,0.0,1.0,0.0,,0.0,0.0,615.0
4730,Edmond Sumner,2018,22,IND,PG,1,0.0,2.0,1,1,1.0,0.0,0.0,N/A,1,1,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1,2,0.0,1.0,0.0,,0.0,0.0,505.0
4734,Barry Sumpter,1989,23,LAC,PF,1,0.0,1.0,0,1,0.0,0.0,0.0,N/A,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,,0.0,0.0,85.0
4737,Bruno Šundov,1999,18,DAL,C,3,0.0,11.0,2,7,0.28600000000000003,0.0,0.0,N/A,2,7,0.28600000000000003,0.28600000000000003,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,4,4,0.0,1.0,0.0,,0.0,0.0,118.0
4744,Jon Sundvold,1984,22,SEA,PG,73,2.0,1284.0,217,488,0.445,9.0,37.0,0.243,208,451,0.461,0.45399999999999996,64,72,0.889,23.0,68.0,91.0,239,29.0,1.0,81.0,81,507,0.0,1.0,0.0273972602739726,,0.0,0.0,76.0
4753,Bob Sura,1996,22,CLE,SG,79,3.0,1150.0,148,360,0.41100000000000003,27.0,78.0,0.34600000000000003,121,282,0.429,0.449,99,141,0.7020000000000001,34.0,101.0,135.0,233,56.0,21.0,115.0,126,422,0.0,1.0,0.0379746835443038,,0.0,0.0,113.0
4765,Dane Suttle,1984,22,KCK,SG,40,1.0,469.0,109,214,0.509,0.0,3.0,0.0,109,211,0.517,0.509,40,47,0.851,21.0,25.0,46.0,46,20.0,0.0,32.0,46,258,0.0,1.0,0.025,,0.0,0.0,76.0
